time,Education (Aggregate levels): Basic and below basic,Education (Aggregate levels): Intermediate,Education (Aggregate levels): Advanced,Education (Aggregate levels): Level not stated,Education (Aggregate levels): Basic and below basic_share_percent,Education (Aggregate levels): Intermediate_share_percent,Education (Aggregate levels): Advanced_share_percent,Education (Aggregate levels): Level not stated_share_percent,total,calculated_total,difference_total_vs_calculated
2017Q3,736.273,1179.845,697.49,329.144,25.01987935102924,40.09325284631529,23.701963332282165,11.184904470373311,2942.752,2942.7520000000004,-4.547473508864641e-13
2017Q4,767.48,1141.754,714.144,320.363,26.07158714030888,38.785817094642496,24.2597429597237,10.882852805324925,2943.741,2943.7409999999995,4.547473508864641e-13
2018Q1,778.231,1132.221,711.292,295.56,26.676376544919556,38.810525060124,24.381826508310414,10.131271886646026,2917.304,2917.304,0.0
2018Q2,768.539,1097.946,720.076,293.036,26.689116567353,38.128460336637374,25.006138011673162,10.176285084336453,2879.597,2879.5969999999998,4.547473508864641e-13
2018Q3,769.107,1081.209,740.372,286.026,26.735608753598722,37.58486245069896,25.736726000568705,9.942802795133614,2876.714,2876.714,0.0
2018Q4,751.407,1100.769,737.227,311.248,25.904771032433754,37.94903282056339,25.415915254885885,10.730280892116976,2900.651,2900.6510000000003,-4.547473508864641e-13
2019Q1,776.792,1138.397,725.885,308.008,26.340128894347465,38.60174115199238,24.613930707928773,10.444199245731383,2949.082,2949.082,0.0
2019Q2,737.281,1141.307,722.467,315.999,25.274849214310052,39.125329870478915,24.767008084183562,10.83281283102747,2917.054,2917.054,0.0
2019Q3,723.754,1100.839,758.295,299.927,25.10580803832365,38.18625197940207,26.303977188962868,10.4039627933114,2882.815,2882.815,0.0
2019Q4,694.8699999999999,1123.088,771.714,301.671,24.032776464086066,38.8431258415207,26.69050334048918,10.43359435390405,2891.343,2891.3429999999994,4.547473508864641e-13
2020Q1,700.3319999999999,1164.298,804.164,301.596,23.577106036581053,39.19680580664492,27.072673958638426,10.153414198135598,2970.39,2970.39,0.0
2020Q2,651.764,1140.007,817.97,284.184,22.521799977539153,39.3931079761915,28.265072522612023,9.820019523657317,2893.925,2893.925,0.0
2020Q3,649.34,1041.661,805.563,271.517,23.45812857354969,37.63116035983051,29.101857929735438,9.80885313688436,2768.081,2768.081,0.0
2020Q4,667.72,983.652,801.937,217.454,25.0010951926472,36.83037394182861,30.026513022683034,8.142017842841167,2670.763,2670.7630000000004,-4.547473508864641e-13
2021Q1,684.0020000000001,986.264,835.049,254.743,24.782160374890676,35.73345197818307,30.254762762231806,9.229624884694452,2760.058,2760.058,0.0
2021Q2,635.364,934.002,763.406,256.664,24.536771713994863,36.06970784371577,29.481555056776838,9.91196538551252,2589.436,2589.4359999999997,4.547473508864641e-13
2021Q3,650.471,953.736,766.561,232.702,24.984770325757548,36.63326253039214,29.443819210515198,8.938147933335125,2603.47,2603.4700000000003,-4.547473508864641e-13
2021Q4,654.012,923.016,755.592,232.444,25.496907679496495,35.98413139009397,29.4570427872365,9.061918143173035,2565.064,2565.064,0.0
2022Q1,439.351,993.758,790.153,523.115,15.977248246634185,36.13857317515767,28.73436189703163,19.02337360456228,2749.854,2746.3769999999995,3.4770000000003165
2022Q2,551.6740000000001,1143.502,1001.273,57.316,20.033445119681602,41.52503935521005,36.36014692611752,2.0813685989908364,2753.765,2753.765,0.0
2022Q3,513.438,1105.404,990.435,57.259,19.25486848855594,41.45468127938269,37.14313251349316,2.14731771856821,2666.536,2666.536,0.0
2022Q4,525.7199999999999,1054.091,1032.936,54.0,19.713906118578176,39.52722174244501,38.73393314026415,2.0249389987126643,2666.747,2666.747,0.0
2023Q1,501.19,1057.028,1023.885,58.724,18.946834394105043,39.95956516676723,38.70663727051266,2.2199842434195105,2645.244,2640.827,4.416999999999916
2023Q2,471.67900000000003,1003.043,991.304,51.653,18.734675866144972,39.83998754408326,39.373724767931094,2.0516118218406714,2517.679,2517.6789999999996,4.547473508864641e-13
2023Q3,445.50100000000003,1035.13,965.354,52.423,17.831395032356607,41.431583632457155,38.638765165657496,2.098256169528756,2498.408,2498.4080000000004,-4.547473508864641e-13
2023Q4,488.582,1077.822,1053.126,64.545,18.16244050336274,40.0667195030014,39.148675795556095,2.399381725666414,2690.068,2684.075,5.993000000000393
2024Q1,526.701,1068.3,1042.288,66.59,19.479458955078982,39.50990410443663,38.54787880670696,2.4627581337774362,2703.879,2703.879,0.0
2024Q2,523.779,1031.701,1061.232,83.298,19.374996300921513,38.16342972638656,39.255804593959546,3.081258396908162,2703.376,2700.01,3.3659999999999854
2024Q3,513.906,1033.478,1126.454,73.612,18.6822395014056,37.57045746777361,40.95045283634818,2.6760477872946984,2750.773,2747.45,3.32300000000032
2024Q4,497.273,1013.535,1123.673,74.739,18.3471808632904,37.39497209033073,41.45857861214285,2.757539521633914,2710.351,2709.22,1.1310000000003129
2025Q1,518.66,1016.75,1069.368,71.665,19.364003770802416,37.96003322786287,39.924509282334164,2.675589654560898,2678.475,2676.4429999999998,2.032000000000153
2025Q2,514.922,1041.007,1062.779,70.569,19.147228046794734,38.7095490721112,39.519134696797686,2.624088184296374,2689.277,2689.277,0.0
2025Q3,475.84000000000003,1033.368,1042.328,62.146,18.205734285961338,39.536867912775925,39.87967931829503,2.3777184829677065,2613.682,2613.6820000000002,-4.547473508864641e-13
